moth_educ,moth_pp_group,outcome,pred,var,upper,lower
Completed primary,Black African,educ,-0.010619381445206485,0.00061748791621606125,0.03808525466816182,-0.0593240175585748
Completed primary,Black African,behind,0.11341597848674556,0.03101251238758866,0.4585792262234659,-0.2317472692499748
Completed primary,Black African,private,-0.052046652535243036,0.00354319389955685,0.0646218251463381,-0.16871513021682416
Grade 12/Std 10,Black African,educ,-0.01563185391909586,8.391498271238404e-4,0.041145588572433694,-0.0724092964106254
Grade 12/Std 10,Black African,behind,0.1272132701237285,0.022891965098054908,0.4237630519828418,-0.16933651173538486
Grade 12/Std 10,Black African,private,-0.05911810450429434,0.004815384572895894,0.07689212075556201,-0.19512832976415068
Higher,Black African,educ,-0.015870992917275284,3.2692296075190067e-4,0.01956778874948778,-0.05130977458403835
Higher,Black African,behind,0.12380047004816704,0.03776016265894507,0.5046671670309872,-0.2570662269346532
Higher,Black African,private,-0.028648969089966465,0.0204732711838324,0.25179731557041296,-0.30909525375034586
No schooling,Black African,educ,-0.011018275017652263,5.527058630977017e-4,0.035060731521943736,-0.05709728155724826
No schooling,Black African,behind,0.10146559462843158,0.028921502900898597,0.4347895294787391,-0.23185834022187596
No schooling,Black African,private,-0.05223996776634768,0.003562630042584518,0.064748063978753,-0.16922799951144835
Some primary,Black African,educ,-0.010647569030222903,6.702892613463091e-4,0.04009672351965881,-0.061391861580104616
Some primary,Black African,behind,0.18335732321793577,0.029350006723872214,0.5191414589814163,-0.15242681254554472
Some primary,Black African,private,-0.05395013597908331,0.0033225360561394647,0.05902709408638328,-0.16692736604454989
Some secondary,Black African,educ,0.00919760467625451,0.0019502116202461338,0.09575355744865226,-0.07735834809614324
Some secondary,Black African,behind,0.013213768549914027,0.017868952642672804,0.27521638012485966,-0.24878884302503163
Some secondary,Black African,private,-0.03573882733217734,0.002649760111664945,0.06515378114323106,-0.13663143580758574
Completed primary,White,educ,0.002729270273795218,0.0010870873032338968,0.06735244401281346,-0.06189390346522303
Completed primary,White,behind,0.06448862304116225,0.023905577641296687,0.36753262490690675,-0.23855537882458222
Completed primary,White,private,-0.05733022469124108,0.0038251471931528003,0.06389141305225667,-0.1785518624347388
Grade 12/Std 10,White,educ,-0.00451658582970905,7.729357732654159e-4,0.04997479024556016,-0.05900796190497826
Grade 12/Std 10,White,behind,0.06644390210409301,0.022672645487521143,0.3615696971557307,-0.22868189294754465
Grade 12/Std 10,White,private,-0.058245635302938845,0.004471022182808045,0.07281114177278274,-0.1893024123786604
Higher,White,educ,-0.0016742245512657932,4.4476807186738195e-4,0.039661244780601415,-0.043009693883133
Higher,White,behind,0.08948961188367793,0.024334159125413535,0.3952380471964177,-0.21625882342906183
Higher,White,private,-0.06284207706183126,0.01017987564648357,0.1349128477403877,-0.2605970018640502
No schooling,White,educ,0.0022022921665025173,9.97535122797069e-4,0.06410649984043386,-0.05970191550742883
No schooling,White,behind,0.06096497197031409,0.024298437799209507,0.36648891317532545,-0.24455896923469728
No schooling,White,private,-0.05714192924782502,0.003880695644019558,0.06495672097430288,-0.17924057946995292
Some primary,White,educ,0.0027897051623472792,9.708411869341514e-4,0.06386002122282167,-0.05828061089812711
Some primary,White,behind,0.1244350125254865,0.0321901448910908,0.4760906119599536,-0.22722058690898062
Some primary,White,private,-0.058392905811409906,0.003950354240092762,0.0647967075849327,-0.1815825192077525
Some secondary,White,educ,0.019748174051988053,0.003230416795788225,0.1311482151772051,-0.09165186707322898
Some secondary,White,behind,-0.014102932649359958,0.012056115286712403,0.2011057393074977,-0.22931160460621763
Some secondary,White,private,-0.048023931526084133,0.004338120625441619,0.08107031387120894,-0.17711817692337722
Completed primary,"Coloured, Indian or Asian, and Other",educ,0.004589708899479394,0.0010415893901392543,0.06784609040489716,-0.05866667260593837
Completed primary,"Coloured, Indian or Asian, and Other",behind,0.027528571849027426,0.011440106902335372,0.23716710522495899,-0.18210996152690412
Completed primary,"Coloured, Indian or Asian, and Other",private,-0.029977919612683642,0.004986523191074397,0.10842810442829298,-0.16838394365366027
Grade 12/Std 10,"Coloured, Indian or Asian, and Other",educ,-0.0030083022775065464,7.525234499189172e-4,0.050758733024884,-0.0567753375798971
Grade 12/Std 10,"Coloured, Indian or Asian, and Other",behind,0.04077844715815854,0.012643923728217592,0.2611710454783397,-0.1796141511620226
Grade 12/Std 10,"Coloured, Indian or Asian, and Other",private,-0.028087841830144428,0.0040995146839940665,0.09740596522833794,-0.1535816488886268
Higher,"Coloured, Indian or Asian, and Other",educ,-2.681379351116394e-4,4.2647891991381775e-4,0.040208539531559485,-0.04074481540178277
Higher,"Coloured, Indian or Asian, and Other",behind,0.049185927494196355,0.01554856274317936,0.29358592470000205,-0.19521406971160932
Higher,"Coloured, Indian or Asian, and Other",private,-0.03007024979116775,0.014358709246240036,0.20479230031070722,-0.2649327998930427
No schooling,"Coloured, Indian or Asian, and Other",educ,0.004067252571035863,9.550410803867899e-4,0.06463858089074412,-0.056504075748672396
No schooling,"Coloured, Indian or Asian, and Other",behind,0.02526670525751073,0.012380612531529302,0.24335237902156834,-0.19281896850654687
No schooling,"Coloured, Indian or Asian, and Other",private,-0.029932579262369214,0.005084146723100978,0.10982169813716057,-0.169686856661899
Some primary,"Coloured, Indian or Asian, and Other",educ,0.004650511630043203,9.322885951728566e-4,0.06449597818529738,-0.055194954925210975
Some primary,"Coloured, Indian or Asian, and Other",behind,0.08416922874983906,0.017067028175747012,0.3402252683973149,-0.17188681089763674
Some primary,"Coloured, Indian or Asian, and Other",private,-0.030950202161466385,0.004915153486396589,0.10646178288110963,-0.1683621872040424
Some secondary,"Coloured, Indian or Asian, and Other",educ,0.02161506149014074,0.0033259539556258423,0.13465038657010076,-0.09142026358981926
Some secondary,"Coloured, Indian or Asian, and Other",behind,-0.050390607518459106,0.01443791631890795,0.1851188388541159,-0.2859000538910341
Some secondary,"Coloured, Indian or Asian, and Other",private,-0.01856037760556336,0.005061840696733997,0.12088698601445391,-0.15800774122558064
